latitude,longitude,time
10.749999999999993,79.35,
10.649999999999999,79.44999999999999,
10.549999999999997,79.55,
10.449999999999996,79.65,
10.349999999999994,79.75,
10.249999999999993,79.85,
10.149999999999999,79.94999999999999,
10.049999999999997,80.05,
9.949999999999996,80.15,
9.849999999999994,80.25,
9.749999999999993,80.35,
9.649999999999999,80.44999999999999,
9.549999999999997,80.55,
9.449999999999996,80.65,
9.349999999999994,80.75,
9.249999999999993,80.85,
9.149999999999999,80.94999999999999,
9.049999999999997,81.05,
8.949999999999996,81.15,
8.849999999999994,81.25,
8.749999999999993,81.35,
8.649999999999999,81.44999999999999,
8.549999999999997,81.55,
8.449999999999996,81.65,
8.349999999999994,81.75,
8.249999999999993,81.85,
8.149999999999999,81.94999999999999,
8.049999999999997,82.05,
7.949999999999996,82.15,
7.849999999999994,82.25,
7.749999999999993,82.35,
7.649999999999999,82.44999999999999,
7.549999999999997,82.55,
7.449999999999996,82.65,
7.349999999999994,82.75,
7.249999999999993,82.85,
7.149999999999999,82.94999999999999,
7.049999999999997,83.05,
6.949999999999996,83.15,
6.849999999999994,83.25,
6.749999999999993,83.35,
6.6499999999999915,83.45,
6.549999999999997,83.55,
6.449999999999996,83.65,
6.349999999999994,83.75,
6.249999999999993,83.85,
6.1499999999999915,83.95,
6.049999999999997,84.05,
5.949999999999996,84.15,
5.849999999999994,84.25,
5.749999999999993,84.35,
5.6499999999999915,84.45,
5.549999999999997,84.55,
5.449999999999996,84.65,
5.349999999999994,84.75,
5.249999999999993,84.85,
5.1499999999999915,84.95,
5.049999999999997,85.05,
